overall_score,technical_skills_score,experience_score,projects_score,education_score,soft_skills_score,certifications_score,cv_completeness_score,missing_required_skills_count,missing_optional_skills_count,ahp_explainable_score,final_score
28.43,42.93,38.36,5.18,68.29,57.09,39.3,51.41,1,5,43.42,24.01
28.62,11.36,30.5,3.51,57.93,47.37,37.9,62.73,4,5,24.99,0.0
46.45,41.63,64.37,62.24,83.05,29.32,25.93,81.43,3,4,49.62,29.13
28.36,41.63,38.51,17.18,58.26,60.36,19.37,59.42,3,4,43.5,16.29
37.92,35.26,42.94,25.24,39.81,10.48,5.73,78.42,3,2,31.51,19.68
63.45,48.07,36.33,46.84,37.88,36.77,59.74,73.19,1,4,45.67,41.74
70.87,63.57,52.47,65.7,35.02,2.04,6.3,90.28,2,2,49.6,48.88
28.74,19.05,16.58,34.67,25.33,6.57,5.9,93.09,3,4,21.8,9.84
40.11,22.47,14.97,5.3,63.18,34.18,10.12,60.3,3,4,19.28,7.36
28.15,31.37,32.13,35.74,5.91,31.19,2.08,69.7,3,5,35.98,5.58
97.6,85.34,77.14,81.59,36.25,91.06,41.0,94.57,1,5,88.96,72.83
60.63,46.48,49.26,51.03,51.33,1.95,57.84,96.37,2,2,38.81,38.23
66.76,66.26,68.05,30.39,79.96,20.72,2.62,84.42,3,2,57.01,40.34
48.67,55.9,36.64,70.84,12.35,3.59,26.11,61.72,2,5,43.26,30.43
55.43,68.2,63.45,43.68,30.67,67.21,18.37,97.79,0,5,65.18,52.13
87.18,95.61,71.88,68.96,77.76,92.32,42.56,78.6,0,3,81.45,80.83
84.2,89.3,85.34,63.99,79.23,67.96,62.81,78.28,0,1,82.64,81.92
48.46,80.49,21.62,46.09,47.55,8.47,8.42,40.51,3,5,42.37,27.2
70.9,35.77,39.69,66.47,72.81,20.94,37.15,86.21,2,3,45.68,33.4
53.18,45.18,67.08,65.83,31.32,5.99,41.61,70.12,4,2,46.24,31.66
77.11,70.38,69.04,55.95,38.05,16.59,4.54,89.78,2,3,56.54,51.85
45.75,2.17,9.98,13.02,17.46,42.84,20.81,47.46,2,8,16.49,0.54
94.99,96.59,99.28,91.09,77.87,61.04,66.21,78.36,0,1,93.1,82.7
66.11,46.46,41.01,48.89,50.01,20.93,25.73,77.82,2,4,39.25,34.41
78.07,53.85,41.34,44.8,63.64,52.21,48.26,44.71,2,2,54.05,40.05
