Judet,Natalitate,Mortalitate,Nuptialitate,Divortialitate,Speranta_de_viata,Soldul_schimbarii_dom
Bihor,8.10,11.40,4.80,1.26,76.25,876
Bistrita-Nasaud,8.30,9.90,4.90,0.79,78.04,-238
Cluj,7.70,10.70,5.30,0.72,78.43,3425
Maramures,7.00,10.80,4.70,1.30,76.73,-471
Satu Mare,6.80,10.60,4.30,0.91,75.48,-191
Salaj,8.80,11.90,4.70,1.01,76.58,-336
Alba,6.50,11.40,4.20,1.05,78.05,-88
Brasov,7.60,9.70,4.50,1.10,78.49,3201
Covasna,7.60,11.30,4.70,0.87,76.34,-202
Harghita,8.10,11.20,3.80,0.76,76.85,-379
Mures,7.90,11.70,4.20,0.98,76.82,-123
Sibiu,7.20,9.20,4.40,1.30,78.81,1116
Bacau,6.20,11.40,4.30,0.96,75.72,-1918
Botosani,6.90,11.60,4.80,0.70,75.84,-836
Iasi,7.50,8.80,5.10,0.94,77.68,381
Neamt,6.10,11.80,4.20,0.89,76.58,-528
Suceava,9.20,9.90,5.20,1.04,77.24,-408
Vaslui,6.10,10.20,4.30,0.71,76.64,-2375
Braila,5.40,14.40,4.00,1.26,75.63,-1191
Buzau,6.00,14.10,5.40,0.85,76.08,-1098
Constanta,6.80,11.20,4.90,0.83,76.48,-5
Galati,5.70,10.90,4.50,0.87,77.13,-2655
Tulcea,5.50,13.20,3.90,0.73,74.89,-955
Vrancea,6.90,11.80,4.30,0.72,77.21,-627
Arges,6.20,11.80,4.80,1.09,77.16,-654
Calarasi,7.10,14.30,4.80,1.18,74.45,-83
Dambovita,6.80,12.10,4.70,0.91,76.27,140
Giurgiu,7.80,14.20,6.00,0.71,74.68,1013
Ialomita,7.40,13.10,4.40,0.63,74.96,-581
Prahova,6.00,13.00,4.50,1.31,76.71,-472
Teleorman,5.50,16.10,4.00,1.18,76.20,-1238
Ilfov,8.10,8.10,6.90,1.13,77.43,17066
Municipiul Bucuresti,6.60,10.00,4.70,0.99,79.19,-7226
Dolj,6.80,13.10,4.60,0.62,76.17,-426
Gorj,6.00,11.50,5.30,1.32,76.95,-1116
Mehedinti,5.90,12.80,5.00,0.42,76.34,-770
Olt,6.00,14.00,4.60,0.77,75.62,-825
Valcea,5.20,8.60,2.70,0.63,83.01,-764
Arad,7.00,12.20,5.30,0.94,76.34,385
Caras-Severin,5.30,11.80,3.30,0.74,77.43,-957
Hunedoara,5.20,12.70,4.00,1.07,76.47,-1468
Timis,7.10,9.50,4.50,0.92,78.39,3601
